,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068,R069,R070,R071,R072,R073,R074,R075,R076,R077,R078,R079,R080,R081,R082,R083,R084,R085,R086,R087,R088,R089,R090,R091,R092,R093,R094,R095,R096,R097,R098,R099,R100
R079,0.1116,0.1801,0.1434,0.1029,0.1380,0.0928,0.0902,0.1834,0.1013,0.0644,0.0973,0.0534,0.0344,0.1295,-0.0422,-0.0144,-0.0782,0.0042,0.0069,0.0111,-0.0656,-0.0284,0.0208,0.0394,-0.0153,0.0533,0.3066,0.2433,0.2451,0.1864,0.3043,0.1219,0.2290,0.2751,0.1345,0.2445,0.1648,0.1623,0.1674,0.2005,0.1560,0.0472,-0.0013,0.0664,0.2008,0.0026,0.0447,0.0948,0.0500,0.0619,0.0599,0.0503,0.0989,0.1664,0.1793,0.0788,0.0176,0.1264,0.0848,0.1101,0.0568,0.1652,0.1199,0.0524,-0.0151,0.0818,0.1254,0.1593,0.0655,0.1250,0.8105,0.7898,0.7580,0.8058,0.8375,0.8045,0.7932,0.7636,1.0000,0.7416,0.8072,0.7510,0.7685,0.8072,0.7713,0.7837,0.8197,0.8098,0.8043,0.8203,0.6984,0.7854,0.8096,0.7940,0.8134,0.8151,0.8082,0.8340,0.7681,0.8384
R080,0.1107,0.1498,0.1734,0.1231,0.1758,0.1479,0.0965,0.1359,0.1192,0.0952,0.1367,0.1071,0.0572,0.1081,0.1209,0.1555,0.0970,0.1722,0.1740,0.1647,0.1137,0.0855,0.1966,0.1921,0.1270,0.2164,0.1177,0.0964,0.0234,-0.0151,0.1139,-0.0834,0.0266,0.1047,-0.0886,0.0484,-0.0471,-0.0246,0.2532,0.2844,0.2387,0.1048,0.0929,0.1464,0.2466,0.0608,0.2002,0.1743,0.1469,0.2093,0.1532,0.1017,0.1850,0.1235,0.2529,0.0887,-0.0711,0.0496,-0.0207,-0.0096,-0.0481,0.0914,0.0505,-0.0471,-0.1195,0.0183,-0.0081,0.0537,0.0366,0.0549,0.8295,0.7989,0.7944,0.7801,0.8043,0.7611,0.8015,0.8270,0.7416,1.0000,0.7874,0.7839,0.7524,0.7777,0.8131,0.7393,0.8071,0.7888,0.7959,0.8026,0.7738,0.8483,0.7400,0.7310,0.7776,0.7862,0.7939,0.7948,0.8113,0.7562
R081,0.0234,0.0789,0.0408,0.1073,0.0329,0.0358,-0.0034,0.0874,0.0331,0.0142,0.0382,0.0222,-0.0590,0.0566,-0.0518,-0.0437,-0.0832,-0.0381,-0.0286,-0.0108,-0.1121,-0.0980,-0.0120,0.0549,-0.0773,0.0440,0.1777,0.1145,0.1101,0.0402,0.1931,-0.0303,0.0988,0.1670,0.0080,0.1220,0.0402,0.0371,0.3583,0.3594,0.3492,0.2259,0.1913,0.2130,0.3538,0.1642,0.2022,0.2346,0.2360,0.2426,0.0590,-0.0429,0.0522,0.0965,0.1841,-0.0039,-0.0627,0.0626,0.0149,0.0505,-0.0210,0.0952,0.0566,-0.0478,-0.1314,0.0166,0.0074,0.0364,0.0573,0.0036,0.8456,0.8513,0.8119,0.7854,0.8300,0.7936,0.8218,0.8106,0.8072,0.7874,1.0000,0.7571,0.7622,0.7996,0.8199,0.7893,0.8047,0.8496,0.8134,0.8435,0.7426,0.8265,0.8259,0.7806,0.8070,0.8128,0.8130,0.8591,0.8212,0.7999
R082,0.1222,0.1822,0.1981,0.0704,0.1799,0.1200,0.1067,0.1306,0.0903,0.0968,0.1259,0.0425,0.0617,0.1286,0.1893,0.2162,0.1452,0.2578,0.2387,0.2283,0.1562,0.1459,0.2560,0.2887,0.2176,0.2748,0.2440,0.2201,0.1624,0.1336,0.2276,0.0775,0.1688,0.2342,0.0429,0.1869,0.1111,0.1523,0.2241,0.2576,0.2293,0.0931,0.0650,0.1014,0.2054,0.0183,0.1089,0.1830,0.1075,0.1109,0.2115,0.1945,0.2560,0.2049,0.2836,0.1923,0.0371,0.1742,0.0826,0.1077,0.0806,0.2168,0.1331,0.1029,0.0296,0.1747,0.0966,0.1472,0.1303,0.1568,0.8383,0.7693,0.7745,0.7852,0.7912,0.8125,0.7879,0.7546,0.7510,0.7839,0.7571,1.0000,0.7354,0.7891,0.8091,0.7368,0.7937,0.7685,0.7544,0.7935,0.7673,0.7695,0.7941,0.7810,0.8169,0.7830,0.7834,0.7929,0.8046,0.7597
R083,0.2311,0.2650,0.2932,0.2316,0.2566,0.2392,0.2129,0.2744,0.2487,0.2105,0.2357,0.1869,0.1819,0.2267,0.1705,0.2043,0.1306,0.1862,0.2016,0.2146,0.1426,0.1552,0.2196,0.2372,0.1873,0.2536,0.1993,0.1748,0.1017,0.1056,0.1947,0.0255,0.1377,0.2244,0.0419,0.1477,0.0273,0.0720,0.1798,0.2017,0.1535,0.0230,-0.0241,0.0399,0.1113,-0.0432,0.0596,0.0810,0.0526,0.0272,0.1594,0.1605,0.2456,0.1911,0.2317,0.1323,0.0115,0.0832,0.0304,0.0920,0.0384,0.1247,0.0969,0.0485,-0.0175,0.0970,0.0398,0.0783,0.0785,0.1058,0.8081,0.7560,0.7667,0.7890,0.7917,0.7847,0.7770,0.7818,0.7685,0.7524,0.7622,0.7354,1.0000,0.7774,0.8127,0.7364,0.7834,0.7574,0.7696,0.8163,0.7359,0.7592,0.7663,0.7473,0.7916,0.7720,0.7852,0.7682,0.7966,0.8041
R084,0.1591,0.2497,0.1907,0.1634,0.1659,0.1310,0.1227,0.1983,0.1383,0.0993,0.1771,0.0887,0.0919,0.1486,0.0104,0.0482,-0.0199,0.0473,0.0738,0.0645,-0.0177,0.0074,0.0792,0.1173,0.0329,0.1383,0.1974,0.2156,0.1875,0.1164,0.2264,0.0722,0.1628,0.2439,0.0661,0.2223,0.0480,0.1047,0.2193,0.2383,0.1984,0.0870,0.0358,0.0902,0.2237,0.0448,0.0865,0.1308,0.1179,0.1493,0.0864,0.0399,0.1045,0.1270,0.1828,0.0656,0.0015,0.1004,0.0685,0.0688,0.0389,0.1459,0.0770,0.0245,-0.0538,0.0993,0.0444,0.0714,0.0724,0.0999,0.8488,0.8406,0.8025,0.7856,0.8457,0.8347,0.8175,0.7897,0.8072,0.7777,0.7996,0.7891,0.7774,1.0000,0.8164,0.8097,0.8296,0.8276,0.8249,0.8387,0.7621,0.8096,0.8099,0.7881,0.8322,0.7908,0.8573,0.8256,0.7941,0.8214
R085,0.1883,0.2613,0.2431,0.1869,0.2299,0.1822,0.1572,0.2032,0.2146,0.1632,0.2050,0.1543,0.1415,0.1993,0.2174,0.2376,0.1790,0.2433,0.2548,0.2584,0.1842,0.1681,0.2676,0.3175,0.2107,0.3145,0.1151,0.1470,0.0358,0.0366,0.1088,-0.0438,0.0636,0.1753,-0.0822,0.0877,-0.0357,0.0359,0.2437,0.2709,0.2231,0.0708,-0.0019,0.0955,0.1983,0.0254,0.1282,0.1365,0.1227,0.0944,0.1102,0.1073,0.1801,0.0958,0.2159,0.0800,-0.0558,0.0449,-0.0273,0.0022,-0.0439,0.1008,0.0186,-0.0500,-0.1013,0.0470,-0.0460,-0.0003,0.0305,0.0590,0.8893,0.8561,0.8156,0.8350,0.8514,0.8434,0.8711,0.8484,0.7713,0.8131,0.8199,0.8091,0.8127,0.8164,1.0000,0.8024,0.8437,0.8381,0.8589,0.8648,0.8438,0.8556,0.8296,0.8294,0.8560,0.8224,0.8540,0.8406,0.8684,0.8247
R086,0.1679,0.2153,0.1778,0.2196,0.1741,0.1965,0.1210,0.1853,0.1517,0.1471,0.1528,0.1075,0.0667,0.1687,0.0221,0.0282,-0.0234,0.0333,0.0458,0.0639,-0.0296,-0.0024,0.0575,0.1084,0.0157,0.1162,0.2017,0.1769,0.1525,0.1205,0.1924,0.0633,0.1656,0.2299,0.0599,0.1641,0.0884,0.1413,0.3146,0.3024,0.2985,0.1961,0.1549,0.1822,0.3356,0.1301,0.1978,0.1926,0.1925,0.2135,0.0285,-0.0235,0.0549,0.0944,0.1298,0.0118,0.0071,0.1268,0.0687,0.0775,0.0477,0.1774,0.0914,0.0265,-0.0356,0.0948,0.0696,0.1016,0.0889,0.0889,0.8155,0.8479,0.7972,0.7812,0.8003,0.8097,0.7937,0.7898,0.7837,0.7393,0.7893,0.7368,0.7364,0.8097,0.8024,1.0000,0.7964,0.8099,0.7989,0.7858,0.7260,0.7808,0.7994,0.7617,0.8040,0.8022,0.8229,0.8350,0.7914,0.7918
R087,0.1616,0.2398,0.2363,0.1950,0.2402,0.2030,0.1448,0.2526,0.1642,0.1597,0.1980,0.1318,0.1176,0.1874,0.1036,0.1156,0.0623,0.1292,0.1468,0.1357,0.0591,0.0548,0.1281,0.1930,0.1018,0.1983,0.1666,0.1691,0.1020,0.0535,0.1693,-0.0237,0.1030,0.2011,-0.0050,0.1179,0.0125,0.0435,0.1923,0.2128,0.1968,0.0569,-0.0017,0.0656,0.1857,-0.0155,0.0806,0.1046,0.0653,0.0911,0.0973,0.0317,0.1272,0.0825,0.1467,0.0667,0.0301,0.1047,0.0619,0.0799,0.0351,0.1885,0.0810,0.0271,-0.0479,0.1190,0.0742,0.1041,0.0854,0.0893,0.8717,0.8493,0.8228,0.8241,0.8598,0.8534,0.8525,0.8401,0.8197,0.8071,0.8047,0.7937,0.7834,0.8296,0.8437,0.7964,1.0000,0.8478,0.8488,0.8577,0.7895,0.8505,0.8164,0.8562,0.8607,0.8340,0.8456,0.8439,0.8261,0.8449
R088,0.1484,0.2088,0.1627,0.1370,0.1560,0.1317,0.0696,0.1785,0.0977,0.0979,0.1425,0.0737,0.0527,0.1411,-0.0196,0.0219,-0.0671,0.0041,0.0133,0.0117,-0.0654,-0.0488,0.0166,0.0799,-0.0060,0.1062,0.1734,0.1414,0.1509,0.0859,0.1817,0.0196,0.1381,0.2220,0.0329,0.1283,0.0720,0.0577,0.2237,0.2211,0.2109,0.0790,0.0244,0.0871,0.2554,0.0134,0.0836,0.1216,0.0877,0.1343,-0.0393,-0.0755,0.0329,0.0261,0.0886,-0.0304,-0.0518,0.0880,0.0119,0.0435,0.0005,0.1242,0.0205,-0.0085,-0.1019,0.0672,0.0354,0.0612,0.0459,0.0540,0.8652,0.8495,0.8196,0.8175,0.8595,0.8438,0.8452,0.8086,0.8098,0.7888,0.8496,0.7685,0.7574,0.8276,0.8381,0.8099,0.8478,1.0000,0.8644,0.8495,0.7916,0.8646,0.8646,0.8152,0.8235,0.8433,0.8483,0.8633,0.8074,0.8387
R089,0.1653,0.2481,0.2266,0.1665,0.1842,0.1654,0.1292,0.2181,0.1504,0.1339,0.1904,0.1403,0.1066,0.1746,0.0710,0.1175,0.0496,0.0993,0.1236,0.1322,0.0555,0.0476,0.1080,0.1904,0.0819,0.1846,0.1365,0.1385,0.0944,0.0583,0.1532,-0.0046,0.1069,0.1856,-0.0220,0.0855,-0.0089,0.0401,0.1766,0.1974,0.1646,0.0322,-0.0047,0.0521,0.1861,-0.0275,0.0881,0.0840,0.0590,0.1117,0.0175,-0.0032,0.1061,0.0549,0.1483,0.0273,0.0228,0.1129,0.0858,0.0974,0.0519,0.2034,0.0964,0.0463,-0.0219,0.1209,0.0797,0.1008,0.0850,0.1156,0.8551,0.8460,0.8146,0.8242,0.8639,0.8487,0.8489,0.8369,0.8043,0.7959,0.8134,0.7544,0.7696,0.8249,0.8589,0.7989,0.8488,0.8644,1.0000,0.8446,0.8002,0.8464,0.8112,0.8589,0.8345,0.8295,0.8860,0.8484,0.8214,0.8136
R090,0.1090,0.1762,0.1755,0.1038,0.1544,0.0952,0.0694,0.1454,0.1149,0.1044,0.1283,0.0767,0.0484,0.1567,0.1149,0.1359,0.0733,0.1566,0.1527,0.1433,0.0793,0.0844,0.1886,0.2207,0.1200,0.1972,0.1601,0.1499,0.0917,0.0295,0.1540,-0.0139,0.1033,0.1661,-0.0488,0.1147,0.0256,0.0348,0.2220,0.2584,0.2419,0.0673,0.0069,0.0805,0.1967,0.0070,0.0853,0.1218,0.0762,0.1086,0.1464,0.0925,0.2048,0.1456,0.2622,0.1144,-0.0678,0.0289,-0.0437,0.0159,-0.0287,0.0888,0.0225,-0.0490,-0.1453,0.0287,-0.0373,0.0085,0.0024,0.0651,0.8844,0.8608,0.8435,0.8338,0.8668,0.8559,0.8604,0.8125,0.8203,0.8026,0.8435,0.7935,0.8163,0.8387,0.8648,0.7858,0.8577,0.8495,0.8446,1.0000,0.7875,0.8445,0.8252,0.8341,0.8459,0.8305,0.8693,0.8325,0.8528,0.8394
R091,0.1517,0.2423,0.2092,0.1644,0.2188,0.1600,0.1278,0.1598,0.1640,0.1453,0.1882,0.1192,0.0884,0.1378,0.2101,0.2128,0.1484,0.2041,0.2506,0.2451,0.1712,0.1600,0.2345,0.3083,0.2096,0.2969,0.1239,0.1685,0.0615,0.0497,0.1141,-0.0174,0.0573,0.1601,-0.0282,0.0819,0.0055,0.0234,0.2264,0.2715,0.2070,0.0758,0.0256,0.1022,0.2199,0.0233,0.1105,0.1306,0.1047,0.0902,0.0717,0.0641,0.1764,0.0658,0.1615,0.0839,0.0709,0.1191,0.0775,0.0892,0.0408,0.1795,0.0754,0.0351,-0.0456,0.1436,0.0518,0.1065,0.1199,0.1510,0.8025,0.7598,0.7553,0.7817,0.7767,0.8064,0.7932,0.8016,0.6984,0.7738,0.7426,0.7673,0.7359,0.7621,0.8438,0.7260,0.7895,0.7916,0.8002,0.7875,1.0000,0.7962,0.7437,0.7667,0.8000,0.7591,0.7754,0.7877,0.8115,0.7542
R092,0.0732,0.1225,0.1325,0.0735,0.1108,0.0879,0.0367,0.1113,0.0792,0.0501,0.0941,0.0071,0.0231,0.0876,0.0344,0.0605,0.0079,0.0666,0.0870,0.0949,0.0035,-0.0051,0.0910,0.1208,0.0253,0.1451,0.0960,0.0532,0.0258,-0.0472,0.1097,-0.1091,0.0100,0.0999,-0.0738,0.0102,-0.0647,-0.0307,0.2172,0.2355,0.2198,0.0686,0.0435,0.0920,0.2185,-0.0032,0.1120,0.1217,0.0915,0.1601,0.0409,-0.0087,0.0652,0.0650,0.1541,0.0129,-0.0886,0.0535,-0.0437,-0.0019,-0.0759,0.0673,0.0310,-0.0493,-0.1350,0.0212,-0.0246,0.0309,0.0033,0.0461,0.8565,0.8337,0.8070,0.8106,0.8454,0.8307,0.8440,0.8245,0.7854,0.8483,0.8265,0.7695,0.7592,0.8096,0.8556,0.7808,0.8505,0.8646,0.8464,0.8445,0.7962,1.0000,0.8123,0.8144,0.8183,0.8194,0.8378,0.8416,0.8081,0.8225
R093,0.0559,0.1315,0.0794,0.0420,0.0666,0.0512,-0.0136,0.1183,0.0305,0.0094,0.0527,-0.0219,-0.0206,0.0743,0.0156,0.0450,-0.0311,0.0688,0.0376,0.0908,-0.0185,0.0041,0.0701,0.1335,0.0448,0.1342,0.2262,0.2126,0.2093,0.1576,0.2765,0.1239,0.2288,0.2563,0.0992,0.1758,0.1146,0.1382,0.1966,0.1969,0.1778,0.0539,0.0031,0.0562,0.1878,-0.0256,0.0354,0.0941,0.0483,0.0439,0.0461,0.0166,0.1015,0.1111,0.1117,0.0380,-0.0686,0.0632,0.0102,0.0345,-0.0004,0.1137,0.0592,0.0002,-0.0992,0.0602,0.0191,0.0581,0.0570,0.0410,0.8561,0.8495,0.8048,0.8146,0.8439,0.8266,0.8657,0.7913,0.8096,0.7400,0.8259,0.7941,0.7663,0.8099,0.8296,0.7994,0.8164,0.8646,0.8112,0.8252,0.7437,0.8123,1.0000,0.8115,0.8116,0.8460,0.8332,0.8363,0.7989,0.8263
R094,0.1348,0.1905,0.2075,0.0992,0.1833,0.1192,0.1245,0.2039,0.1478,0.1314,0.1584,0.0932,0.0862,0.1489,0.1947,0.2109,0.1676,0.2294,0.2394,0.2587,0.1630,0.1564,0.2155,0.3076,0.2037,0.3014,0.2197,0.2245,0.1453,0.1365,0.2413,0.0750,0.1761,0.2625,0.0508,0.1433,0.0786,0.1342,0.1054,0.1838,0.1104,-0.0239,-0.0689,0.0065,0.1220,-0.0742,0.0215,0.0653,-0.0126,0.0007,0.0632,0.0511,0.1502,0.1028,0.1155,0.0714,0.0791,0.1441,0.1010,0.1215,0.0861,0.2395,0.1551,0.1191,0.0303,0.1942,0.1289,0.1468,0.1310,0.1629,0.8084,0.8056,0.7555,0.8139,0.8168,0.8458,0.8254,0.7667,0.7940,0.7310,0.7806,0.7810,0.7473,0.7881,0.8294,0.7617,0.8562,0.8152,0.8589,0.8341,0.7667,0.8144,0.8115,1.0000,0.8059,0.8107,0.8477,0.8154,0.7799,0.8180
R095,0.1503,0.2103,0.2386,0.1484,0.2214,0.1614,0.1430,0.1977,0.1676,0.1259,0.1923,0.1075,0.1048,0.1874,0.1531,0.1651,0.1297,0.2029,0.1882,0.1959,0.1498,0.1308,0.2071,0.2580,0.1684,0.2607,0.2107,0.1847,0.1441,0.0996,0.2023,0.0281,0.1157,0.2202,-0.0086,0.1647,0.0433,0.0972,0.1895,0.2261,0.1812,0.0714,0.0184,0.0782,0.1880,-0.0089,0.0791,0.1259,0.0899,0.0794,0.2031,0.1904,0.2617,0.2029,0.2893,0.1951,0.0480,0.1464,0.1151,0.1309,0.1017,0.2313,0.1235,0.1107,0.0210,0.1707,0.0988,0.1476,0.1344,0.1552,0.8824,0.8164,0.8024,0.8232,0.8713,0.8477,0.8206,0.8138,0.8134,0.7776,0.8070,0.8169,0.7916,0.8322,0.8560,0.8040,0.8607,0.8235,0.8345,0.8459,0.8000,0.8183,0.8116,0.8059,1.0000,0.8234,0.8476,0.8229,0.8298,0.8321
R096,0.0259,0.1109,0.0710,0.0400,0.0585,0.0361,-0.0206,0.0818,0.0282,-0.0379,0.0239,-0.0172,-0.0561,0.0387,-0.0172,0.0223,-0.0618,0.0405,0.0296,0.0292,-0.0377,-0.0234,0.0488,0.0833,0.0104,0.1008,0.2309,0.1676,0.1552,0.1256,0.2307,0.0254,0.1887,0.2242,0.0549,0.1289,0.0942,0.1150,0.2468,0.2650,0.2186,0.0958,0.0605,0.1121,0.2285,0.0253,0.0871,0.1352,0.1202,0.1098,0.0935,0.0547,0.1313,0.0966,0.1848,0.0687,-0.0378,0.0430,-0.0136,0.0058,0.0027,0.1137,0.0395,-0.0074,-0.0913,0.0657,0.0378,0.0910,0.0751,0.0429,0.8507,0.8448,0.7882,0.8085,0.8271,0.8188,0.8376,0.7945,0.8151,0.7862,0.8128,0.7830,0.7720,0.7908,0.8224,0.8022,0.8340,0.8433,0.8295,0.8305,0.7591,0.8194,0.8460,0.8107,0.8234,1.0000,0.8140,0.8414,0.8078,0.8391
R097,0.0935,0.1625,0.1426,0.0862,0.1129,0.1034,0.0648,0.1377,0.0750,0.0655,0.1158,0.0408,0.0390,0.1013,0.0446,0.0935,0.0340,0.0858,0.0788,0.1090,0.0417,0.0257,0.0923,0.1795,0.0577,0.1506,0.0931,0.0879,0.0645,-0.0023,0.1255,-0.0421,0.0556,0.1199,-0.0696,0.0581,-0.0395,-0.0150,0.1917,0.2175,0.1778,0.0323,0.0052,0.0366,0.1978,-0.0286,0.0615,0.0834,0.0658,0.1001,0.0178,-0.0175,0.0699,0.0608,0.1490,-0.0063,-0.0297,0.1161,0.0666,0.0878,0.0344,0.1649,0.0929,0.0357,-0.0322,0.1073,0.0587,0.1062,0.0705,0.1347,0.8698,0.8634,0.8178,0.8116,0.8798,0.8578,0.8669,0.8261,0.8082,0.7939,0.8130,0.7834,0.7852,0.8573,0.8540,0.8229,0.8456,0.8483,0.8860,0.8693,0.7754,0.8378,0.8332,0.8477,0.8476,0.8140,1.0000,0.8412,0.8419,0.8472
R098,0.1469,0.2152,0.1863,0.1688,0.1424,0.1642,0.1115,0.1947,0.1196,0.1381,0.1792,0.0924,0.0552,0.1402,0.0048,0.0287,-0.0279,0.0236,0.0329,0.0493,-0.0359,-0.0169,0.0422,0.1152,0.0230,0.0925,0.1949,0.1676,0.1563,0.0974,0.1996,0.0174,0.1435,0.2239,0.0478,0.1413,0.0844,0.0893,0.2978,0.3136,0.2906,0.1712,0.1366,0.1710,0.3276,0.1110,0.1413,0.2243,0.1953,0.1955,0.0411,0.0260,0.1032,0.1310,0.2044,0.0402,0.0620,0.1783,0.1005,0.1143,0.1091,0.2179,0.1252,0.0712,-0.0034,0.1444,0.0953,0.1610,0.1343,0.1464,0.8865,0.8359,0.8189,0.8362,0.8400,0.8093,0.8405,0.8260,0.8340,0.7948,0.8591,0.7929,0.7682,0.8256,0.8406,0.8350,0.8439,0.8633,0.8484,0.8325,0.7877,0.8416,0.8363,0.8154,0.8229,0.8414,0.8412,1.0000,0.8296,0.8638
R099,0.1285,0.2078,0.2041,0.1491,0.1823,0.1377,0.0671,0.1637,0.1670,0.1040,0.1586,0.1255,0.0714,0.1573,0.1696,0.1931,0.1293,0.1909,0.1986,0.2206,0.1399,0.1221,0.2328,0.2624,0.1742,0.2506,0.1614,0.1268,0.0694,0.0674,0.1263,-0.0295,0.0853,0.1562,-0.0421,0.0909,0.0112,0.0428,0.2682,0.3113,0.2842,0.1318,0.0671,0.1441,0.2567,0.0850,0.1631,0.2013,0.1626,0.1676,0.1397,0.1165,0.1924,0.1467,0.2642,0.1122,-0.0460,0.0718,0.0021,0.0452,-0.0264,0.1139,0.0635,-0.0274,-0.0827,0.0665,-0.0010,0.0607,0.0597,0.0699,0.8669,0.8600,0.8423,0.8133,0.8417,0.8440,0.8468,0.8151,0.7681,0.8113,0.8212,0.8046,0.7966,0.7941,0.8684,0.7914,0.8261,0.8074,0.8214,0.8528,0.8115,0.8081,0.7989,0.7799,0.8298,0.8078,0.8419,0.8296,1.0000,0.7865
R100,0.1318,0.2082,0.1762,0.1551,0.1794,0.1713,0.1235,0.2158,0.1490,0.1195,0.1898,0.0904,0.0795,0.1748,0.0684,0.0938,0.0154,0.0827,0.0678,0.0846,0.0179,0.0392,0.0814,0.1535,0.0554,0.1383,0.2861,0.2731,0.2403,0.1496,0.2841,0.1062,0.1780,0.2817,0.1073,0.2177,0.1570,0.1460,0.2243,0.2175,0.2081,0.0862,0.0374,0.0716,0.2227,0.0043,0.0636,0.1226,0.0912,0.0918,0.0878,0.0767,0.1564,0.1492,0.2016,0.0712,0.0756,0.2000,0.1306,0.1727,0.1544,0.2486,0.1813,0.1315,0.0477,0.1846,0.1684,0.2164,0.1601,0.2123,0.8331,0.8029,0.7952,0.8158,0.8600,0.8254,0.8319,0.8059,0.8384,0.7562,0.7999,0.7597,0.8041,0.8214,0.8247,0.7918,0.8449,0.8387,0.8136,0.8394,0.7542,0.8225,0.8263,0.8180,0.8321,0.8391,0.8472,0.8638,0.7865,1.0000
